pld-api-dev-auth-users  | ERROR in ./apps/auth-users/src/password-recovery/password-recovery.controller.ts:12:26
pld-api-dev-auth-users  | [Nest] 81  - 05/04/2026, 5:55:01 PM     LOG [InstanceLoader] PasswordRecoveryModule dependencies initialized +1ms
pld-api-dev-auth-users  | [Nest] 81  - 05/04/2026, 5:55:01 PM     LOG [RoutesResolver] PasswordRecoveryController {/pld-api/auth-users/auth/password-recovery}: +0ms
pld-api-dev-auth-users  | [Nest] 81  - 05/04/2026, 5:55:01 PM     LOG [RouterExplorer] Mapped {/pld-api/auth-users/auth/password-recovery/request, POST} route +0ms
pld-api-dev-auth-users  | [Nest] 81  - 05/04/2026, 5:55:01 PM     LOG [RouterExplorer] Mapped {/pld-api/auth-users/auth/password-recovery/verify, GET} route +0ms
pld-api-dev-auth-users  | [Nest] 81  - 05/04/2026, 5:55:01 PM     LOG [RouterExplorer] Mapped {/pld-api/auth-users/auth/password-recovery/confirm, POST} route +0ms
pld-api-dev-auth-users  | [Nest] 52  - 05/04/2026, 5:55:34 PM     LOG [InstanceLoader] PasswordRecoveryModule dependencies initialized +2ms
pld-api-dev-auth-users  | [Nest] 52  - 05/04/2026, 5:55:34 PM     LOG [RoutesResolver] PasswordRecoveryController {/pld-api/auth-users/auth/password-recovery}: +0ms
pld-api-dev-auth-users  | [Nest] 52  - 05/04/2026, 5:55:34 PM     LOG [RouterExplorer] Mapped {/pld-api/auth-users/auth/password-recovery/request, POST} route +0ms
pld-api-dev-auth-users  | [Nest] 52  - 05/04/2026, 5:55:34 PM     LOG [RouterExplorer] Mapped {/pld-api/auth-users/auth/password-recovery/verify, GET} route +0ms
pld-api-dev-auth-users  | [Nest] 52  - 05/04/2026, 5:55:34 PM     LOG [RouterExplorer] Mapped {/pld-api/auth-users/auth/password-recovery/confirm, POST} route +0ms
pld-api-dev-auth-users  | [Nest] 52  - 05/04/2026, 5:56:14 PM     LOG [Mail] [dev-override] redirecting p***@example.mx → c***@zurco.com.mx
pld-api-dev-auth-users  | [Nest] 52  - 05/04/2026, 5:56:16 PM     LOG [Mail] mail sent to=c***@zurco.com.mx subject="PLD — Recuperación de contraseña" status=sent latencyMs=1138
pld-api-dev-auth-users  | [Nest] 52  - 05/04/2026, 5:58:58 PM     LOG [Mail] [dev-override] redirecting p***@example.mx → c***@zurco.com.mx
pld-api-dev-auth-users  | [Nest] 52  - 05/04/2026, 5:58:59 PM     LOG [Mail] mail sent to=c***@zurco.com.mx subject="PLD — Recuperación de contraseña" status=sent latencyMs=914
